resource,price
Base Metals,1298
Condensates,497
Condensed Alloy,597
Construction Blocks,338
Coolant,489
Crystal Compound,620
Dark Compound,798
Fiber Composite,616
Gleaming Alloy,293
Glossy Compound,497
Heavy Metals,540
Heavy Water,105
Industrial Fibers,2495
Ionic Solutions,1380
Liquid Ozone,490
Lucent Compound,1000
Lustering Alloy,650
Motley Compound,769
Nanites,1747
Noble Gas,429
Noble Metals,718
Opulent Compound,700
Oxygen Isotopes,3419
Plasmoids,9999
Polyaramids,219
Precious Alloy,899
Reactive Gas,366
Reactive Metals,1249
Sheen Compound,450
Silicate Glass,1267
Smartfab Units,499
Supertensile Plastics,569
Suspended Plasma,270
Toxic Metals,1790
